SKUE78;Kung Fu Panda 2
RKPE52;Kung Fu Panda
KMKE01;Kustom Mario Kart Wii
RLBEWR;LEGO Batman - The Videogame
S7AEWR;LEGO Batman 2 - DC Super Heroes
R25EWR;LEGO Harry Potter - Years 1-4
SLHEWR;LEGO Harry Potter - Years 5-7
RLIE64;LEGO Indiana Jones - The Original Adventures
RL4E64;LEGO Indiana Jones 2 - The Adventure Continues
SCJE4Q;LEGO Pirates of the Caribbean - The Video Game
R6LEWR;LEGO Rock Band
RLGE64;LEGO Star Wars - The Complete Saga
SC4E64;LEGO Star Wars III - The Clone Wars
SLREWR;LEGO The Lord of the Rings
RO8E7D;Legend of Spyro - Dawn of the Dragon
RO7E7D;Legend of Spyro - The Eternal Night
RLDEGY;Legend of the Dragon
R9GEWR;Legend of the Guardians - The Owls of Ga'Hoole
SLDEYG;Let's Dance
SPUE20;Let's Paint
SBREJJ;Let's Play Ballerina
SGDEJJ;Let's Play Garden
R2UE8P;Let's Tap
RLJEHJ;Line Rider 2 - Unbound
RZPE01;Link's Crossbow Training
RO3EXJ;Little King's Story
SLIE52;Little League World Series Baseball - Double Play
RLHE52;Little League World Series Baseball 2008
R7RE52;Little League World Series Baseball 2009
RL7E69;Littlest Pet Shop - Friends
RLPE69;Littlest Pet Shop
RLTXUG;London Taxi - Rush Hour
RLYEWR;Looney Tunes - Acme Arsenal
RKZEA4;Lost in Blue - Shipwrecked
SDWE18;Lost in Shadow
RLXEMJ;Luxor - Pharaoh's Challenge
RL3EMJ;Luxor 3
R2ME20;M&M's Adventure
RXWE20;M&M's Beach Party
RMWE20;M&M's Kart Racing
RL8E54;MLB Power Pros 2008
R4SE54;MLB Superstars
RMXE78;MX vs. ATV - Untamed
RMXP78;MX vs. ATV - Untamed
RQ5E5G;Mad Dog McCree Gunslinger Pack
RZZE8P;MadWorld
RRGE52;Madagascar - Escape 2 Africa
SV3EG9;Madagascar 3 - The Video Game
RJHE52;Madagascar Kartz
RMDE69;Madden NFL 07
RNFE69;Madden NFL 08
RFLE69;Madden NFL 09 All-Play
R2IE69;Madden NFL 10
SMEE69;Madden NFL 11
SM7E69;Madden NFL 12
S2ME69;Madden NFL 13
SMLE54;Major League Baseball 2K10
SMVE54;Major League Baseball 2K11
SM9E54;Major League Baseball 2K12
RK8E54;Major League Baseball 2K8
R9ZE54;Major League Baseball 2K9
R4NE5G;Major Minor's Majestic March
SMWE4Z;Man vs. Wild
RHTE54;Manhunt 2
RK6E18;Marble Saga - Kororinpa
RMIE20;Margot's Word Brain
SMAENR;Marines - Modern Urban Combat
SIIE8P;Mario & Sonic at the London 2012 Olympic Games
RWSE8P;Mario & Sonic at the Olympic Games
ROLE8P;Mario & Sonic at the Olympic Winter Games
RMCEGP;Mario Kart Wii CTGP Revolution
RMCE01;Mario Kart Wii
RM8E01;Mario Party 8
SSQE01;Mario Party 9
RMAE01;Mario Power Tennis
RMKE01;Mario Sports Mix
R4QE01;Mario Strikers Charged
RMBE01;Mario Super Sluggers
RQ7E20;Martian Panic
RMSE52;Marvel - Ultimate Alliance 2
RMUE52;Marvel - Ultimate Alliance
SMZE78;Marvel Super Hero Squad - Comic Combat
SMSE78;Marvel Super Hero Squad - The Infinity Gauntlet
R38X78;Marvel Super Hero Squad - Walmart Edition
R38E78;Marvel Super Hero Squad
SHTE20;Mathews Bow Hunting
SN5EYG;Maximum Racing - Crash Car Racer
SDREYG;Maximum Racing - Drag & Stock Racer
SGPEYG;Maximum Racing - GP Classic Racing
SN3EYG;Maximum Racing - Rally Racer
SN8EYG;Maximum Racing - Sprint Cars
SN6EYG;Maximum Racing - Super Karts
SN7EYG;Maximum Racing - Super Truck Racer
RM2E69;Medal of Honor - Heroes 2
RMVE69;Medal of Honor - Vanguard
R2OE68;Medieval Games
RRSE4Q;Meet The Robinsons
SMGE78;Megamind - Mega Team Unite
S3ZE52;Men In Black - Alien Crisis
RMME7U;Mercury Meltdown Revolution
RVGE78;Merv Griffin's Crosswords
RMLEH4;Metal Slug Anthology
R3OE01;Metroid - Other M
R3ME01;Metroid Prime - Trilogy
RM3E01;Metroid Prime 3 - Corruption
SMOE41;Michael Jackson - The Experience
RCEE5Z;Mini Desktop Racing
SGOETV;Mini Golf Resort
RNJE4F;Mini Ninjas
RGCEXS;MiniCopter - Adventure Flight
SMYE20;Minute to Win It
RFVE52;Monkey Mischief! Party Time
SMPE69;Monopoly Collection
S75E69;Monopoly Streets
RWOE69;Monopoly
RQZE41;Monster 4x4 - Stunt Racer
RM4E41;Monster 4x4 - World Circuit
SNYEVZ;Monster High - 13 Wishes
SAOE78;Monster High - Ghoul Spirit
SU5EVZ;Monster High - Skultimate Roller Maze
RMHE08;Monster Hunter Tri
SMJE52;Monster Jam - Path of Destruction
RUAE52;Monster Jam - Urban Assault
RMOE52;Monster Jam
RM7E4F;Monster Lab
RI7E4Z;Monster Mayhem - Build and Battle
SM4E20;Monster Trucks Mayhem
RRXE5Z;Monster Trux Arenas - Special Edition
RTQENR;Monster Trux Offroad
RVZE52;Monsters vs. Aliens
RKME5D;Mortal Kombat - Armageddon
R5SERW;Mortimer Beckett and the Secrets of Spooky Manor
RQ8E08;MotoGP 08
R7WE52;Mountain Sports
RVQE41;Movie Games
REBE4Z;Mr Bean's Wacky World of Wii
RSFE7U;Muramasa - The Demon Blade
RM9EGM;Mushroom Men - The Spore Wars
SB2ES5;My Baby First Steps
RU9EGT;My Ballet Studio
